Quantità,Nome della Famiglia e del Tipo,Valore Parametri,IFC Element,ID,Verifica,Stato
64,INC_TelST_TS.AC_HE:HEB650,J.002,IfcBeam,,Corretta,1
171,INC_TelST_TS.AC_WS:WS370x400x30x12,J.002,IfcBeam,,Corretta,1
160,INC_TelST_TS.AC_IPE:IPE450,J.002,IfcBeam,,Corretta,1
5,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS300x600x30,J.002,IfcBeam,,Corretta,1
213,INC_TelST_TS.AC_HE:HEA260,J.002,IfcBeam,,Corretta,1
41,INC_TelST_TS.AC_HE:HEB280,J.002,IfcBeam,,Corretta,1
28,INC_TelST_TS.AC_HE:HEB500,J.002,IfcBeam,,Corretta,1
200,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS250x150x10,J.002,IfcBeam,,Corretta,1
10,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS250x150x12.5,J.002,IfcBeam,,Corretta,1
10,INC_TelST_TS.AC_HE:HE300B,J.002,IfcBeam,,Corretta,1
153,INC_TelST_TS.AC_HE:HEA200,J.002,IfcBeam,,Corretta,1
42,INC_TelST_TS.AC_HE:HEA160,J.002,IfcBeam,,Corretta,1
168,INC_TelST_TS.AC_ProfilatoL:L60x6,J.002,IfcBeam,,Corretta,1
8,INC_TelST_TS.AC_HE:HEB200,J.002,IfcBeam,,Corretta,1
10,INC_TelST_TS.AC_HE:HEA300,J.002,IfcBeam,,Corretta,1
3,INC_TelST_TS.AC_CircolareCava:CHS323x5.6,J.002,IfcBeam,,Corretta,1
12,INC_TelST_TS.AC_DoppiaL:2L100x10,J.002,IfcBeam,,Corretta,1
4,INC_TelST_TS.AC_ProfilatoL:L100x10,J.002,IfcBeam,,Corretta,1
2,INC_TelST_TS.AC_RettangolareQuadrataCava:SHS180x4,J.002,IfcBeam,,Corretta,1
160,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,J.002,IfcBeam,,Corretta,1
48,INC_TelST_TS.AC_RettangolareQuadrataCava:SHS120x4,J.002,IfcBeam,,Corretta,1
40,INC_PilST_PS.AC_CircolareCavo:CHS610x20,J.002,IfcColumn,,Corretta,1
2,INC_PilST_PS.AC_CircolareCavo:CHS508x20,J.002,IfcColumn,,Corretta,1
2,INC_PilST_PS.AC_HE:HEB300,J.002,IfcColumn,,Corretta,1
16,INC_PilST_PS.AC_HE:HEB200,J.002,IfcColumn,,Corretta,1
58,INC_PilST_PS.AC_CircolareCavo:CHS610x25,J.002,IfcColumn,,Corretta,1
4,INC_PilST_PS.AC_CircolareCavo:CHS508x25,J.002,IfcColumn,,Corretta,1
2,INC_PilST_PS.AC_RettangolareQuadratoCavo:RHS200x120x6,J.002,IfcColumn,,Corretta,1
101,INC_PilST_PS.AC_RettangolareQuadratoCavo:RHS200x120x4,J.002,IfcColumn,,Corretta,1
16,INC_PilST_PS.AC_RettangolareQuadratoCavo:SHS120x4,J.002,IfcColumn,,Corretta,1
20,Montante scala:ST_MNT_Acc_UPN240,,IfcMember,,Corretta,1
42,INC_ColST_CO.AC_PiastraBaseCircolare:PB-D730,J.002,IfcMember,,Corretta,1
2,INC_ColST_CO.AC_PiastraBaseCircolare:PB-D628,J.002,IfcMember,,Corretta,1
4,Pianerottolo non monolitico:ST_PIA_RET_Acc_LamieraPressopiegata,,IfcSlab,,Corretta,1
2,Scala assemblata:ST_SCA_ASS_Acc_UPN240_Pressopiegata_ThreeStraightRunStair,J.002,IfcStair,,Corretta,1
6,Rampa non monolitica:ST_RMS_RET_Acc_LamieraPressopiegata,,IfcStairFlight,,Corretta,1
14,,J.002,IfcElementAssembly,,Corretta,1
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,,IfcBeam,880110,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,,IfcBeam,880290,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,,IfcBeam,880347,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,,IfcBeam,880348,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,,IfcBeam,880359,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,,IfcBeam,880360,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,,IfcBeam,880370,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,,IfcBeam,880371,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,,IfcBeam,880511,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,,IfcBeam,880512,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,,IfcBeam,880513,Da compilare IDE_GEN_I_Wbs1,0
