Raggruppamento,UR01,AR01,AR02,AR03,AR04,FA01,IE01,IM01,IM02,ST01,ST02,ST03,ST04,%,Stato
pGI e Allegati,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0
Elaborati Progettuali,-,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1
Clash Detection,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0
ACDat,-,100%,100%,66.67%,100%,66.67%,66.67%,100%,100%,66.67%,66.67%,66.67%,66.67%,81%,0
Collegamenti Modello Nativo,-,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1
Georeferenziazione e Orientamento,-,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1
Griglie e Livelli,-,100%,100%,97.46%,100%,100%,85.71%,71.43%,57.14%,100%,100%,100%,100%,93%,1
Integrità e Pulizia File,-,88.28%,79.04%,94.6%,94.34%,86.86%,73.65%,69.06%,79.42%,92.68%,91.97%,79.95%,80.25%,84%,0
Verifica Informativa,-,56.78%,55.95%,55.9%,56.63%,56.3%,36.67%,0%,33.33%,56.97%,56.33%,56.5%,42.32%,47%,0
Verifica LOIN Geometrico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
Naming Convention,-,87.01%,86.79%,89.12%,83.61%,99.45%,47.97%,59.4%,-,100%,100%,100%,100%,87%,0
Regole Modellazione,-,100%,97%,96.88%,100%,100%,43.9%,-,-,100%,100%,-,99.42%,93%,1
Specifiche Impianti,-,-,-,-,-,-,50%,47.5%,100%,-,-,-,-,66%,0
Unità di misura,-,100%,100%,100%,100%,100%,100%,-,-,100%,100%,100%,100%,100%,1
